TreeDepth,Offset,Order,PID,Start,State,Type,Name,Display,Binary,Binary (Registry),Dll
0,0x22d212885d0,598,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_WIN32_SHARE_PROCESS,workfolderssvc,Work Folders,N/A,%SystemRoot%\\System32\\svchost.exe -k LocalService -p,%systemroot%\\system32\\workfolderssvc.dll
0,0x22d2128b150,597,N/A,SERVICE_BOOT_START,SERVICE_RUNNING,SERVICE_FILE_SYSTEM_DRIVER,Wof,Wof,\\FileSystem\\Wof,-,-
0,0x22d212851a0,596,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_WIN32_OWN_PROCESS,WMPNetworkSvc,Windows Media Player Network Sharing Service,N/A,"""%PROGRAMFILES%\\Windows Media Player\\wmpnetwk.exe""",-
0,0x22d21288400,595,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_WIN32_OWN_PROCESS,wmiApSrv,WMI Performance Adapter,N/A,%systemroot%\\system32\\wbem\\WmiApSrv.exe,-
0,0x22d21288ee0,594,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_KERNEL_DRIVER,WmiAcpi,WmiAcpi,N/A,\\SystemRoot\\System32\\drivers\\wmiacpi.sys,-
0,0x22d21284360,593,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_WIN32_SHARE_PROCESS,WManSvc,Windows Management Service,N/A,%systemroot%\\system32\\svchost.exe -k netsvcs -p,%systemroot%\\system32\\Windows.Management.Service.dll
0,0x22d21288970,592,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_WIN32_SHARE_PROCESS,wlpasvc,Local Profile Assistant Service,N/A,%SystemRoot%\\system32\\svchost.exe -k LocalServiceNetworkRestricted -p,%SystemRoot%\\System32\\lpasvc.dll
0,0x22d21281880,517,2280,SERVICE_AUTO_START,SERVICE_RUNNING,SERVICE_WIN32_OWN_PROCESS,VM3DService,VMware SVGA Helper Service.,"""C:\\Program Files\\VMware\\VMware Tools\\vm3dservice.exe""","""C:\\Program Files\\VMware\\VMware Tools\\vm3dservice.exe""",-
0,0x22d21281890,516,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_KERNEL_DRIVER,vm3dmp_loader,vm3dmp_loader,N/A,\\SystemRoot\\System32\\drivers\\vm3dmp_loader.sys,-
0,0x22d21277360,515,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_KERNEL_DRIVER,vm3dmp-stats,vm3dmp-stats,N/A,\\SystemRoot\\System32\\drivers\\vm3dmp-stats.sys,-
0,0x22d21277230,514,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_KERNEL_DRIVER,vm3dmp-debug,vm3dmp-debug,N/A,\\SystemRoot\\System32\\drivers\\vm3dmp-debug.sys,-
0,0x22d21276ea0,513,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_KERNEL_DRIVER,vm3dmp,vm3dmp,N/A,\\SystemRoot\\System32\\drivers\\vm3dmp.sys,-
0,0x22d21276b10,512,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_KERNEL_DRIVER,VirtualRender,VirtualRender,N/A,\\SystemRoot\\System32\\DriverStore\\FileRepository\\vrd.inf_amd64_81fbd405ff2470fc\\vrd.sys,-
0,0x22d21278400,511,N/A,SERVICE_SYSTEM_START,SERVICE_RUNNING,SERVICE_KERNEL_DRIVER,Vid,Vid,\\Driver\\Vid,\\SystemRoot\\System32\\drivers\\Vid.sys,-
0,0x22d21276c40,510,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_KERNEL_DRIVER,vhf,vhf,N/A,\\SystemRoot\\System32\\drivers\\vhf.sys,-
0,0x22d212769e0,509,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_KERNEL_DRIVER,vhdmp,vhdmp,N/A,\\SystemRoot\\System32\\drivers\\vhdmp.sys,-
0,0x22d2121eaf0,44,N/A,SERVICE_SYSTEM_START,SERVICE_RUNNING,SERVICE_KERNEL_DRIVER,Beep,Beep,\\Driver\\Beep,-,-
0,0x22d2121eb00,43,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_WIN32_SHARE_PROCESS,BDESVC,BitLocker Drive Encryption Service,N/A,%SystemRoot%\\System32\\svchost.exe -k netsvcs -p,%SystemRoot%\\System32\\bdesvc.dll
0,0x22d21211b80,42,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_KERNEL_DRIVER,bcmfn2,bcmfn2,N/A,\\SystemRoot\\System32\\drivers\\bcmfn2.sys,-
0,0x22d2121f6e0,41,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_WIN32_SHARE_PROCESS,BcastDVRUserService,GameDVR and Broadcast User Service,N/A,%SystemRoot%\\system32\\svchost.exe -k BcastDVRUserService,%SystemRoot%\\System32\\BcastDVRUserService.dll
0,0x22d212119a0,40,N/A,SERVICE_SYSTEM_START,SERVICE_RUNNING,SERVICE_KERNEL_DRIVER,BasicRender,BasicRender,\\Driver\\BasicRender,\\SystemRoot\\System32\\DriverStore\\FileRepository\\basicrender.inf_amd64_49a8589f00d970d9\\BasicRender.sys,-
0,0x22d2121f220,39,N/A,SERVICE_SYSTEM_START,SERVICE_RUNNING,SERVICE_KERNEL_DRIVER,BasicDisplay,BasicDisplay,\\Driver\\BasicDisplay,\\SystemRoot\\System32\\DriverStore\\FileRepository\\basicdisplay.inf_amd64_62ba5773ba05edee\\BasicDisplay.sys,-
0,0x22d2121d3e0,38,N/A,SERVICE_SYSTEM_START,SERVICE_RUNNING,SERVICE_KERNEL_DRIVER,bam,bam,\\Driver\\bam,system32\\drivers\\bam.sys,-
0,0x22d2121d050,37,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_KERNEL_DRIVER,b06bdrv,b06bdrv,N/A,System32\\drivers\\bxvbda.sys,-
0,0x22d2121dc30,36,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_WIN32_SHARE_PROCESS,AxInstSV,ActiveX Installer (AxInstSV),N/A,%SystemRoot%\\system32\\svchost.exe -k AxInstSVGroup,%SystemRoot%\\System32\\AxInstSV.dll
0,0x22d212117c0,35,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_WIN32_OWN_PROCESS,autotimesvc,Cellular Time,N/A,%SystemRoot%\\system32\\svchost.exe -k autoTimeSvc,%SystemRoot%\\System32\\autotimesvc.dll
0,0x22d212115e0,34,1536,SERVICE_AUTO_START,SERVICE_RUNNING,SERVICE_WIN32_OWN_PROCESS,Audiosrv,Windows Audio,-,%SystemRoot%\\System32\\svchost.exe -k LocalServiceNetworkRestricted -p,%SystemRoot%\\System32\\Audiosrv.dll
0,0x22d21271da0,457,360,SERVICE_DEMAND_START,SERVICE_RUNNING,SERVICE_WIN32_SHARE_PROCESS,TokenBroker,Web Account Manager,C:\\Windows\\system32\\svchost.exe -k netsvcs -p,%SystemRoot%\\system32\\svchost.exe -k netsvcs -p,%SystemRoot%\\System32\\TokenBroker.dll
0,0x22d2126f050,445,680,SERVICE_DEMAND_START,SERVICE_RUNNING,SERVICE_WIN32_SHARE_PROCESS,TabletInputService,Touch Keyboard and Handwriting Panel Service,C:\\Windows\\System32\\svchost.exe -k LocalSystemNetworkRestricted -p,%SystemRoot%\\System32\\svchost.exe -k LocalSystemNetworkRestricted -p,%SystemRoot%\\System32\\TabSvc.dll
0,0x22d212335b0,51,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_WIN32_SHARE_PROCESS,Browser,Computer Browser,N/A,%SystemRoot%\\System32\\svchost.exe -k netsvcs -p,%SystemRoot%\\System32\\browser.dll
0,0x22d21235600,90,1392,SERVICE_AUTO_START,SERVICE_RUNNING,SERVICE_WIN32_SHARE_PROCESS,CryptSvc,Cryptographic Services,C:\\Windows\\System32\\svchost.exe -k NetworkService -p,%SystemRoot%\\system32\\svchost.exe -k NetworkService -p,%SystemRoot%\\system32\\cryptsvc.dll
0,0x22d21235610,89,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_WIN32_OWN_PROCESS,CredentialEnrollmentManagerUserSvc,CredentialEnrollmentManagerUserSvc,N/A,%SystemRoot%\\system32\\CredentialEnrollmentManager.exe,-
0,0x22d21247040,216,360,SERVICE_AUTO_START,SERVICE_RUNNING,SERVICE_WIN32_SHARE_PROCESS,LanmanServer,Server,C:\\Windows\\system32\\svchost.exe -k netsvcs -p,%SystemRoot%\\system32\\svchost.exe -k netsvcs -p,%SystemRoot%\\system32\\srvsvc.dll
0,0x22d21247050,215,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_WIN32_SHARE_PROCESS,KtmRm,KtmRm for Distributed Transaction Coordinator,N/A,%SystemRoot%\\System32\\svchost.exe -k NetworkServiceAndNoImpersonation -p,%systemroot%\\system32\\msdtckrm.dll
